model,seed,checkpoint,epoch,val_threshold,val_f1_weighted,acc,precision_pos,recall_pos,f1_pos,auc,auprc,fp,fn
baseline,9,ckpt_lmvd/hypervd_lmvd_seq300_detour_a05_selauprc_thrf1pos_seed9_best.pkl,25,0.048296933867735474,0.7977417244695545,0.7747252747252747,0.7659574468085106,0.7912087912087912,0.7783783783783784,0.8585919574930564,0.8883270345910833,22,19
edge_gatv2,9,ckpt_lmvd/hypervd_lmvd_seq300_detour_a05_edgegatv2_seed9_best.pkl,27,0.20999999999999996,0.8113553769430737,0.8076923076923077,0.8888888888888888,0.7032967032967034,0.7852760736196319,0.8654751841565028,0.895721822145762,8,27
baseline,42,ckpt_lmvd/hypervd_lmvd_seq300_detour_a05_selauprc_thrf1pos_seed42_best.pkl,28,0.012823944445699453,0.7721987375559907,0.7692307692307693,0.8266666666666667,0.6813186813186813,0.7469879518072289,0.8521917642796764,0.8787790818457507,13,29
edge_gatv2,42,ckpt_lmvd/hypervd_lmvd_seq300_detour_a05_edgegatv2_seed42_best.pkl,9,0.002815050100200401,0.8029492509216409,0.7637362637362637,0.7222222222222222,0.8571428571428571,0.7839195979899497,0.8552107233425915,0.8833026931757246,30,13
baseline,2024,ckpt_lmvd/hypervd_lmvd_seq300_detour_a05_selauprc_thrf1pos_seed2024_best.pkl,28,0.02265076152304609,0.797802131449446,0.7692307692307693,0.7578947368421053,0.7912087912087912,0.7741935483870968,0.852916314454776,0.8765957792368155,23,19
edge_gatv2,2024,ckpt_lmvd/hypervd_lmvd_seq300_detour_a05_edgegatv2_seed2024_best.pkl,23,0.034271683366733474,0.797802131449446,0.7912087912087912,0.7789473684210526,0.8131868131868132,0.7956989247311828,0.8594372660306725,0.8885973497308206,21,17
baseline,7,ckpt_lmvd/hypervd_lmvd_seq300_detour_a05_selauprc_thrf1weighted_seed7_best.pkl,25,0.025455811623246494,0.8243179238908679,0.7967032967032966,0.8,0.7912087912087912,0.7955801104972375,0.8658374592440526,0.8929796532471403,18,19
edge_gatv2,7,ckpt_lmvd/hypervd_lmvd_seq300_detour_a05_edgegatv2_seed7_best.pkl,30,0.16330824047327042,0.8180083190604356,0.7582417582417582,0.8051948051948052,0.6813186813186813,0.7380952380952381,0.8479652215915953,0.872377124048056,15,29
baseline,123,ckpt_lmvd/hypervd_lmvd_seq300_detour_a05_selauprc_thrf1weighted_seed123_best.pkl,30,0.05237443931400776,0.8191860576443897,0.7637362637362637,0.7727272727272727,0.7472527472527473,0.7597765363128491,0.8507426639294771,0.8775372748171302,20,23
edge_gatv2,123,ckpt_lmvd/hypervd_lmvd_seq300_detour_a05_edgegatv2_seed123_best.pkl,26,0.020747334669338677,0.8029492509216409,0.7417582417582418,0.7037037037037037,0.8351648351648352,0.7638190954773869,0.8558145151551745,0.8845146679604283,32,15
